Date|AQSID|Sitename|Parameter name|Reporting units|Value|Averaging period|Data Source
01/01/20|560370300|Moxa Arch|OZONE-1HR|PPB|47|1|Wyoming Department of Environmental Quality
01/01/20|560370300|Moxa Arch|OZONE-8HR|PPB|45|8|Wyoming Department of Environmental Quality
01/01/20|560370300|Moxa Arch|PM10-24hr|UG/M3|1|24|Wyoming Department of Environmental Quality
01/01/20|560370300|Moxa Arch|SO2-24HR|PPB|0|24|Wyoming Department of Environmental Quality
01/01/20|560390008|Grand Teton NP - Sci|OZONE-1HR|PPB|43|1|National Park Service
01/01/20|560390008|Grand Teton NP - Sci|OZONE-8HR|PPB|42|8|National Park Service
01/01/20|560391011|Yellowstone NP|OZONE-1HR|PPB|42|1|National Park Service
01/01/20|560391011|Yellowstone NP|OZONE-8HR|PPB|40|8|National Park Service
01/01/20|560391013|Yellowstone- Old Fai|PM2.5-24hr|UG/M3|-0.5|24|National Park Service
01/01/20|560410101|Murphy Ridge|OZONE-1HR|PPB|46|1|Wyoming Department of Environmental Quality
01/01/20|560410101|Murphy Ridge|OZONE-8HR|PPB|43|8|Wyoming Department of Environmental Quality
01/01/20|560410101|Murphy Ridge|PM10-24hr|UG/M3|3|24|Wyoming Department of Environmental Quality
01/01/20|560450003|NewCastle|OZONE-1HR|PPB|40|1|Bureau of Land Management - Wyoming
01/01/20|560450003|NewCastle|OZONE-8HR|PPB|39|8|Bureau of Land Management - Wyoming
01/01/20|586000000000|Islamabad|PM2.5-24hr|UG/M3|87.3|24|U.S. Department of State Pakistan - Islamabad
01/01/20|586PK2010001|Karachi|PM2.5-24hr|UG/M3|99.6|24|U.S. Department of State Pakistan - Karachi
01/01/20|586PK3010003|Lahore|PM2.5-24hr|UG/M3|331.2|24|U.S. Department of State Pakistan - Lahore
01/01/20|586PK4010001|Peshawar|PM2.5-24hr|UG/M3|401.3|24|U.S. Department of State Pakistan - Peshawar
